AGE_REF,FAM_SIZE,REF_RACE,REGION,SEX_REF,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV
63,1,1,4,2,105.32,105.32,0,0,0,0,0,0,0,0,0,0,0,0,105.32,0,0,0,0,0,0,0
80,2,1,4,1,217.32,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,194.95,132.46
80,2,1,4,1,266.29,63.66,1.99,26.46,0,3.99,0,0,0,1.49,0,10.49,0,0,0,0,15.76,0,0,3.48,202.63,145.17
35,4,1,3,2,151.09,91.99,13.93,0,12.32,0,4,9.25,11.31,0,0,11.53,2.14,12.81,0,2.45,0,5.39,0,6.86,59.1,9.71
35,4,1,3,2,120.57,110.81,11.25,2.76,3.07,2.97,0,14.11,0,0,4,9.65,8.21,12.96,3.58,5.35,0,0,3.36,29.54,9.76,14.03
52,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,1,1,2,701.05999,408.65999,11.34708,23.62531,6.26484,10.59129,9.49844,13.81516,5.40593,6.75596,9.24788,14.09797,22.95044,19.41365,3.66265,25.40453,10.78561,47.95828,13.05948,154.77549,292.4,0
33,4,1,1,2,422.55999,290.99999,11.39104,6.6037,19.28427,4.69862,4.28898,4.33709,0,3.34309,2.48146,14.61509,2.7468,9.9191,4.45804,15.10571,4.43828,3.44376,4.36026,175.4847,131.56,10
24,2,1,1,2,33.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.25,0
24,2,1,1,2,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0
75,1,1,3,1,75.65,12,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,63.65,0
75,1,1,3,1,65,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,62.5,0
44,4,1,2,2,347.47,268.11,13.66,37.15,0,0,0,0,0,2.99,16.87,10.9,10.17,6.99,2.61068,3.36932,21.53,10.39,5.84,125.64,79.36,0
44,4,1,2,2,236.05,178.35,11.68,16.24,0,0,0,0,0,7.68,3.79,12.73,17.7,9.01,13.33964,5.51036,20.68,14.86,3.79,41.34,57.7,0
56,2,1,2,2,178.28,158.04,16.92,22.7,0,0,22.14,6.49,9.56,4.17,2.02,7.37,1.88,3.02,0,0,2.3,30.54,3.37,25.56,20.24,0
56,2,1,2,2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0
37,1,1,4,2,37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.22,0
37,1,1,4,2,93.72999,32.13999,2.97,2.20875,0,0,0,5.98,3.2732,0,0,1.16,0,0,0,0,0,12.54804,0,4,61.59,0
87,1,1,2,2,149.45716,25.25001,0,2.90743,0,0,3.62073,0,0,0,0,3.12212,4.97729,1.55318,3.2259,0,2.53586,0,0,3.3075,124.20715,0
87,1,1,2,2,129.27,8.15,0,0,0,0,0,0,0,0,0,0,0,0,3.55803,4.59197,0,0,0,0,121.12,0
43,5,1,2,2,281.68,215.84,15.99,29.53,29.43,9.58,10.9,13.12,0,3.22,6.41,13.77,14.39,3.83,0,0,30.48,0,14.02,21.17,65.84,0
43,5,1,2,2,220.23,29.01,0,17.95,0,0,0,0,0,0,0,3.58,0,2.53,0,0,0,4.53,0,0.42,191.22,18.87
20,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,2,3,2,101.72,101.72,1.5,5.57,15.01,20.29,0,0,0.89,1.89,3,0,9.98,4.98,0,5.16,10.77,19.22,0,3.46,0,0
74,2,2,3,2,34.92,34.92,0,0,12.23,0,0,0,0,0,3,0,2.1,4.39609,0,2.70391,0,6.12,3.38,0.99,0,0
47,3,1,4,1,51.46,25.57,0,4.49,0,0,0,6.21,0,0.89,3.14,3.66,2.98,1.04,0,1,0,0,0,2.16,25.89,25.2
82,4,2,1,2,9.38,4.88,0,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,1.89,4.5,0
82,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,4,2,38.62,38.62,3.99,5.28,0,0,0,0,0,0,0,3.69,3.49,2.99,0,2.67,0,6.54,0,9.97,0,0
29,1,1,4,2,37.97,37.97,5.68,2.99,0,0,0,0,0,1.99,0,0,0,0,0,3.69,1.99,0,0,21.63,0,0
52,1,1,1,1,86.37,55.26,1.99,7.48,0,0,0,11.98,0,0,0,2.15,10.97,1.99,0,0,0,7.22,6.99,4.49,31.11,20.72
52,1,1,1,1,79.43,72.43,3,7.49,8.5,4.5,0,8,0,2.99,2.25,7.99,7,4.2,0,0,0,12.52,0,3.99,7,26.02
75,1,2,2,2,25.51,25.51,8.19,0,0,0,0,0,0,0,0,0,0,0.88,0,1.29,0,0,0,15.15,0,0
38,4,1,3,2,104.95,104.95,1.45,15.86,0,5.19161,0,0,0,0,0,7.28,8.9,8.98,4.79,0,5,1.07,6.79,39.63839,0,0
38,4,1,3,2,69.66002,69.66002,6.96854,9.55473,0,11.10271,4.73779,0,0,0,2.25,3.39841,1.56,5.31729,3.99,3.58226,0,0,0,17.19829,0,0
37,3,2,1,2,38.1,18.47,0,2.65,0,0,3.39,0,0,0,0,6.04,0,0,0,0,2.66,0.74,0,2.99,19.63,34.29
37,3,2,1,2,157.84,139.42,8.68,9.41,2.5,4.49,0,0,0,0,6.88,8.67,6.99,8.49,0,8,7.96,3.69,3.69,59.97,18.42,0
46,4,1,3,1,158.14,88.06,3.52,0,0,2.88,3.79,0,0,0,4,14.9,0,16.1,0,0,3.98,21.3,0,17.59,70.08,55.33
46,4,1,3,1,55.05,40.72,0,0,0,0,0,0,0,0,0,0,0,1.3,0,2.95,2.09,24.43,0,9.95,14.33,62.27
31,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,2,3,2,77.85,77.85,0,6.46884,0,6.55735,9.25202,0,0,0,2.43078,0,0,5.85041,0,0,12.2551,4.36622,0,30.66928,0,0
36,5,2,3,2,67.82,37.04,2.13,5.84,5.35,0,0,0,0,3.08,0,2.26,0,0,4.11,0,5.33,2.33,2.34,4.27,30.78,0
36,5,2,3,2,104.71,56.11,5.33,4,9.07,0,0,0,0,0,3.49,7.6,0,6.13,0,2.64,0,7.45,0,10.4,48.6,0
46,2,1,1,2,71.49,35.46,0,14.06,0,0,0,0,0,0,2.49,0,2.14623,9.08379,3.67998,0,0,0,0,4,36.03,0
46,2,1,1,2,302.64296,252.84001,13.85,28.73,0,0,0,3.27,2.5,2.87,2.49,23.01,32.23904,22.36795,2.68,9.03,8.28,16.25302,24.93,60.34,49.80295,0
57,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,1,4,1,207.16,128.21,5.28,3.45,16.99,6.99,0,9.83,15,4.25,0,12.89,11.99,10.98,1.47997,1.91003,0,15.29,4.89,6.99,78.95,25.1
56,3,1,4,1,226.69,157.97,13.77,13.17,7.83,0,0,16.61,16.99,0,5.89,13.98,6.33,16.57,1.74191,2.24809,5.89,17.1,7.69,12.16,68.72,10.91
46,3,1,1,2,108.78705,45.05,0,7.97,0,0,0,0,0,0,0,1.99,1.87,0,0,5,3.79,12.03,0,12.4,63.73705,0
46,3,1,1,2,107.34,26.44,1.85,3.98,0,0,0,0,0,0,1.39,0,0,0,0,1.15,1,5.17,0,11.9,80.9,0
35,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,1,1,2,227.26,204.76,0,1.69,0,98,0,0,0,0,0,0,98,0,0,0,0,1.07,0,6,22.5,0
34,2,1,1,1,81.34,41.65,1.49,11.26,0,0,0,0,0,1.76,0,4.43,14.24,0,0,0,2,0,0,6.47,39.69,23.43
34,2,1,1,1,206.74,72,4.78,11.38,0,0,0,0,0,0,5.5,3.79,0,3.44,0,0,9.51,14.37,0,19.23,134.74,7
50,2,2,3,1,43.86,42.77,0,0,0,5.98,0,4.16,0,2.24,2.82,0,0,1.34,4.38,0,0,15.48,6.37,0,1.09,0
50,2,2,3,1,14.46,1.88,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0.54,12.58,0
59,2,1,3,2,92.22,14.96,0,2.68,0,0,6.32,0,0,0,0,0,0,0,1.41448,4.54552,0,0,0,0,77.26,0
59,2,1,3,2,153.10464,74.87,0,20.86,5.61144,10.96199,5.75657,8.63,0,0,0,4,0,0,3.89,3.08,0,12.08,0,0,78.23464,4.74536
64,4,1,3,2,176.17459,52.16,0,4.56,8.98,0,0,0,0,0,0.98,5.34,0.55,4.08,0,0,6.55212,2.97,0,18.14788,124.01459,0
64,4,1,3,2,221.66001,176.66001,3.17977,16.67225,5.18,2,2.98,0,4.98,0,3.49,11.31997,5.53617,0,0,1.25,4.98158,32.38222,2.95,79.75805,45,9.39
38,3,1,4,2,100.00002,100.00002,4.18718,9.50307,7.16705,4.60396,5.13121,0,5.5102,0,2.72891,2.95002,7.40351,11.00123,4.20234,0,3.30343,10.65648,9.98241,11.66902,0,0
38,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,2,3,2,18.07,12.5,0,5.08,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,3.18,0,5.57,0
60,1,2,3,2,13.97,1.69,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,12.28,0
23,1,1,1,1,47.62,8.07,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1.46,1.92,0,2.19,39.55,0
23,1,1,1,1,137.25002,60.58002,0,8.03411,16.30002,0,4,0,2.07,0,3.22,10.85,3.54365,5.24635,1.89,3.42589,0,0,0,2,76.67,0
43,5,4,4,1,171.4,101.83,2.97,13.94,5.76,3.63,4.89,3.98,0,0,5.41,5.86,24.1,6.41,8.1,7.36,0.59,0,0,8.83,69.57,0
43,5,4,4,1,244.54,195.07,25.6,18.21,23.89,0,7.34,14.87,8.52,0,0,14.41,12.78,10.31,0,10.09,0,3.51,0,45.54,49.47,0
44,2,1,2,2,12.27,10.27,0,0,0,0,0,0,0,0,0,0,3.66,2.03,0,0,0,4.58,0,0,2,0
44,2,1,2,2,50.34,9.76,0,0,0,0,0,0,0,0,5.96,0,1.12,0,1.68,0,1,0,0,0,40.58,0
45,5,1,1,2,412.28,363.07,32.37377,27.13623,13.47,5.69,0,0,10.88,2.59,14.17,23.31,56.09,14.98,13.23103,23.29897,38.34,8.24,0,79.27,49.21,0
45,5,1,1,2,305.29,271.78,15.82,29.81,3.99,7.99,5.64,0,1.24,0,3.89,10.70765,44.02,12.98,9.49781,9.26219,10,22.27,0,84.66235,33.51,0
25,2,2,3,2,113.25522,18.13,0,2.79,0,0,0,0,0,0,4.24,2.19,0,0,0,0,2.5,6.41,0,0,95.12522,3.15478
25,2,2,3,2,32.52,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,2.12,0,3.96,15.29,0
54,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,1,3,1,9.88,9.88,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,3.91,2.14,0,1.77,0,0
65,2,1,3,1,44.27,20.36,0,0,0,0,0,0,0,0,3.04,0,10.65,0,0,0,6.67,0,0,0,23.91,0
35,3,2,3,2,102.46,69.39,2.35,5.41,3.57,2.95,7.58,0,0,0,3.36,11.66,4.17,1.03,2.39676,5.14324,2.33,7.67,2.85,6.92,33.07,0
35,3,2,3,2,126.74,102.44,12,11.82,0,7.48,4.66,0,6.15,3.85,0,5.29,1.49,0,0,3.84802,5.13,8.48,6.72,25.52198,24.3,0
39,4,1,2,2,170.94,123.7,10.21,3.02,0,13.17,0,0,0,1.19,6.97,2.42,3.55,1.6,0,1.98,1.4,45.98,6.4,25.81,47.24,0
39,4,1,2,2,73.19,42.21,0,3.29,0,0,2.27,0,0,0.59,3.62,0.93,0,0,4.42,0,0,7,0,20.09,30.98,0
48,3,1,3,2,593.79999,389.19999,0,2.55,347.74999,0,6.2,0,0,2.86,6.15,4.53,0,3.82,0,0,0,8.54,0,6.8,204.6,0
48,3,1,3,2,363.01,210.72,12.62,25.83,0,5.34,9.63,0,0,2.97,3.16,25.54,17.75,10.22,7.46,0,13.03,16.05,13.87,47.25,152.29,0
54,1,2,3,2,22.89,22.89,0,0,0,0,0,1.79,4.99,0.89,0,0,0.99,0,5.98,2.28,1.98,0,3.99,0,0,0
54,1,2,3,2,21.26,17.27,6,0.99,0,3.29,0,0,0,0,2.99,0,0,0,0,0,0,0,0,4,3.99,0
45,4,4,4,2,36.57999,36.57999,0,5.23,15.68,0,0,6.26,0,0,4.18,0,0,0,3.80178,1.42821,0,0,0,0,0,0
45,4,4,4,2,122.25,52.25,0,5.03642,4.1834,5.31896,0,0,4.0425,0,0,6.53207,0,0,0,3.58567,0,0,4.70966,18.84132,70,0
38,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,1,3,2,207.63,52.96,0,14.18,0,0,0,0,18.2,0,8.38,0,8.41,0,0,0,0,0,0,3.79,154.67,0
51,1,2,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.42
51,1,2,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12.84
52,2,1,3,2,121.63,105.9,0,13.6,0,5.98,1.78,0,5,0,3.48,3.08,16.14,8.76,8.67,3.64,4.86,7.64,2.68,20.59,15.73,0
52,2,1,3,2,40.13,10.13,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
25,4,1,2,2,36.77,36.77,13.97,0,0,0,0,0,0,0,7.17,9.06,0,0,0,0,6.57,0,0,0,0,0
25,4,1,2,2,222.26,218.25,32.52,30.22,14.1,0,1.99,0,0,0,9.61,37.62,0,4.27,0,2.56,25.28,7.36,7.96,44.76,4.01,0
50,2,4,4,1,117.32,36.1,0,14.64,0,3.14,0,6.16,0,0,2.89,0,0,0,0,3.49,0,5.78,0,0,81.22,0
50,2,4,4,1,129.54646,64,0,10.5,0,20,0,0,0,0,0,0,0,3.5,0,0,0,0,0,30,65.54646,0
56,1,1,4,2,63.56,63.56,1.99,2.77,0,0,0,0,0,0,4.28,12.98,7.75,18.16,0,0,1.5,0,0,14.13,0,0
56,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,2,3,1,299.17999,81.09999,3.32101,15.14685,0,0,0,10.01655,4.7396,0,0,4.11399,4.57604,1.98405,0,4.204,0,20.33922,0,12.65868,218.08,0
30,2,2,3,1,187.87,17.11,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,170.76,32.48
50,2,6,1,2,41.86,29.71,0,12.94,0,0,0,0,0,0,4.49,6.29,0,0,0,0,5.99,0,0,0,12.15,0
50,2,6,1,2,180.25,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,111.25,0
22,1,2,2,2,140.27,43.55,3.41,1.01,8.57,0,3.02,0,0,0,3.66,0,0,0,2.70235,10.08765,0,0,0,11.09,96.72,0
22,1,2,2,2,138.93,36.54,3.45,0,3.45,5.84,0,0,0,1.5,3.9,3.66,3.36,2.81,0,0,2.63,2.11,0,3.83,102.39,0
36,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,1,4,2,394.98,246.92,14.52,37,8.99,4.99,2.8,18.47,0,5.99,7.64,23.21,10.47,17.45,6,15,14.86,35.95,10.7,12.88,148.06,0
56,2,1,4,2,368.52,231.1,18.94,38.76,24.48,0,16.46,0,0,1.76,6.93,34.7,1.69,12.6,0,6.34,9.83,29.42,11.16,18.03,137.42,0
35,5,1,4,2,244.7,231.73,32.89,12.81,0,0,3.1338,0,0,3.2,5.1,29.85,23.42,5.32,15.37,8.1,14.29,2.14,12.3,63.8062,12.97,0
35,5,1,4,2,153.4,94.91,42.19354,13.39,0,0,2.65,0,0,0,0,2.54,2.27646,0,0,0,0,3.8,15.27,12.79,58.49,0
46,1,1,1,1,59.4,27.32,0,0,0,0,0,12.85,0,0,0,0,0,5.69,2.5,6.28,0,0,0,0,32.08,0
46,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,1,2,1,239.05,182.59,0,1.69,39.16,10.34,3.99,22.23,7.67,2.58,2.15,15.74,15.41,19.82,0,0,0.89,16.98,0,23.94,56.46,91.48
62,2,1,2,1,214.86,172.76,5.10051,6.60287,45.183,12.8527,0,5.42785,0,11.43377,15.0857,3.92984,9.31667,5.49,8.52866,9.58255,3.09435,8.73859,0,22.39294,42.1,70.00001
75,1,1,1,2,199.99996,199.99996,3.58379,14.95296,6.15213,5.44312,4.03699,13.7023,9.44553,3.14667,6.49269,10.16561,10.33072,13.13074,3.59676,18.34964,7.59805,20.8892,12.64798,36.33508,0,0
75,1,1,1,2,150,100,12.29782,3.37888,0,5.67348,4.20785,4.25505,0,0,2.43452,3.62838,2.69484,1.80503,9.43481,15.85199,2.94706,12.84844,0,18.54185,50,0
57,2,1,4,1,213.73001,26.00001,2.69977,5.78201,0,0,0,0,0,0,0,0,3.72002,0,3.34995,0,2.63337,7.81489,0,0,187.73,11
57,2,1,4,1,492.31997,135.99997,4.98101,14.63788,4.57549,0,15.92734,4.36304,5.67378,0,6.32088,9.36342,7.46042,3.41777,21.33236,0,2.60128,3.85987,13.18938,18.29605,356.32,0
77,1,1,4,2,67.41,61.53,0,0,0,0,0,0,0,0,0,7.14261,5.49954,0,0,0,3.30214,35.38571,0,10.2,5.88,0
77,1,1,4,2,98.19,71.22,0,0,0,0,9.51,0,0,2.38,0,9.19,5.03,1.49,5.38,0,0,10.01,0,28.23,26.97,0
53,1,1,2,2,132.4,65.73,0,0,0,4.35,3.2,16.79,0,2.82,0,7.71,1.47,0,2.82,0,3.52,5.29,0,17.76,66.67,34.51
53,1,1,2,2,245.89,104.03,3.02,0,0,5.04,3.03,6.34,0,0,2.53,14.07,7.66,0.8,0,13.29,8.35,17.92,7.77,14.21,141.86,0
51,4,1,1,1,196.84,131.39,4.49,8.96,16.51,2.99,4.37,11.35,0,3.58,6.28,23.41,2.57,2.49,0,2.82,13.06,0,0,28.51,65.45,117.67
51,4,1,1,1,410.34,236.53,15.45,34.67,46.53,3.77,0,13.57,15.99,0,9.26,7.81,0.6,17.46,0,5.88,0,8.96,0,56.58,173.81,60.64
52,1,2,3,2,43.28,12.78,2.5,0,0,0,0,0,0,0,2.99,0,7.29,0,0,0,0,0,0,0,30.5,0
26,1,2,3,2,36.65,36.65,3.8,0,0,0,0,0,0,1.25,0,4.99,1.99,6.13,1.29661,4.24339,0,2.68,0,10.27,0,0
48,4,1,3,1,21.86,21.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29,0,6.57,0,0
48,4,1,3,1,58.5,19.1,0,1.63,0,0,0,0,0,0,0,0,0,0,2.17,0,8.74,2.19,0,4.37,39.4,0
40,4,1,1,2,324.37,167.66,14.24,0,31.09,0,0,19.22,0,2.99,7.58,5,6.5,21,3.59,0,3.29,12.84,0,40.32,156.71,296.51
40,4,1,1,2,190.49,12.08,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,4.14,0,3.99,178.41,175.52
55,1,1,4,1,7.25,7.25,0,4.27,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0
41,4,1,1,2,268.52,223.97,4.79,13.85,0,18.26,11.49,7.99,0,0,24.85,7.79,28.36,30.24,15.73,0,8.22,14.33,0,38.07,44.55,0
41,4,1,1,2,139.35,81.84,3.83,5.99,0,9.85,13.99,0,0,0,7.47,9.89,8.38,3.49,0,0,0,13.65,0,5.3,57.51,0
53,2,1,1,1,120,60,4.42792,10.44587,4.06743,0,0,0,0,2.98965,0,5.70627,8.83661,3.60507,0,3.48626,2.6863,3.04592,3.96338,6.73932,60,0
53,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,2,2,2,70.26,63.14,8.36,10.64,0,0,4.84,6.61,0,1.85548,1.91,2.5,11.22,0,2.92,0,0.7,0,2.53,9.05452,7.12,0
35,3,4,3,2,135.58,135.58,3.49,6.49,17.68,0,3.89,0,0,0,0,14.57,8.99,14.19,7.48,3.67,3.49,0,4.02,47.62,0,4.19
35,3,4,3,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
44,4,1,3,1,202.39,177.94,0,8.13,12.45,11.56,0,19.39,8.99,0,3.59,11.6,15.54,19.28,0,6.98,0,11.31,0,49.12,24.45,0
44,4,1,3,1,131.88,87.38,8.78,5.48,0,0,0,0,4.62,0,7.68,12.58,10.07,5.92,0,0,0,0,7.48,24.77,44.5,0
77,1,1,1,2,52.1,52.1,3.19,6.49,0,0,1.62,0,0,0,3.69,0,12.17,3.5,5.78,0,0,0,0,15.66,0,0
57,2,1,3,1,248.7,63.18,0,0,0,0,0,3.2,15,2.25,0,5,0,11.46,12,0,0,9.72,0,4.55,185.52,14.74
57,2,1,3,1,330.98001,157.92001,9.5186,20.33674,0,0,0,10.95,13.66,0,8.5,2.94179,15.87026,8.68283,4.56728,12.36868,0,19.27115,0,31.25268,173.06,0
44,3,1,1,1,76.12,37.12,0,11.58,7.48,0,0,0,0,0,5.49,2.28,0,0,0,0,0,5.93,1.68,2.68,39,0
44,3,1,1,1,76.24,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,4.79,69.86,0
51,3,1,1,1,326.53565,145.33,4.99,11.37,33.58,4.99,5.09,7.8,0,0,5.18,6.56,4.72,3.99,0,7.38,4.5,17.04,0,28.14,181.20565,67.96435
51,3,1,1,1,254.43,234.89,2.79,19.06,38.98401,16.47,19.78599,0,16.59,1.49,7.21,6.89,12.77,3.05,0,5.17,2.57,19,14.41,48.65,19.54,32.84
57,3,1,3,2,91.36,91.36,4.29,9.39,21.54,14.8,0,1.47,0,0,0,0,4.94,5.07,3.89,1.76,0,7.09,1.49,15.63,0,0
57,3,1,3,2,152.33,152.33,3,9.22,18.52,5.54,5.53,4.35,5,0,10.99,7.64,4.38,17.98,1.59,3.49,13.23,4.73,4.77,32.37,0,0
24,1,1,4,1,105.40144,34.44,2.66,0,0,0,5.25086,0,0,0,0,0,1.58,2.88,0,0,0,0,3.37,18.69914,70.96144,80.01856
24,1,1,4,1,134.11,56.07,6.43,7.28811,0,3.89245,6.37,0,0,2.11,2.55,0,3.70389,1.71062,4.14493,0,1.27,5.71,0,10.89,78.04,66.14
33,3,1,2,2,115.51,44.01,0,2.02,0,3.03,0,0,0,0,0,4.04,0,0,0,0,0,11.69,0,23.23,71.5,18.33
33,3,1,2,2,312.18,108.18,0,7.07,18.18,0,6.06,0,0,0,4.04,14.14,29.9,2.53,0,3.03,0,0,0,23.23,204,0
38,1,2,4,1,68.95999,62.43999,8.69,9.29676,0,0,4.24279,0,0,2.75102,7.04199,4,2.5914,4.13544,2,3.37855,3.65224,8.45132,0,2.20848,6.52,0
38,1,2,4,1,85.41093,80.16093,9.23,14.25,0,8.5159,0,6.25,0,0,11.65421,0,1.74559,5.00441,3,0,4.42353,5.57131,6.42094,4.09504,5.25,3.81908
42,2,1,3,1,58.96,54.57,0,0,5.9,3.1,5.47,0,0,2.49,3.94,5.2,3.65,3.88,0,0,0,9.01,2.69,9.24,4.39,17.31
42,2,1,3,1,76.16001,76.16001,0,3.27,13.09001,3.99,0.99,12.9,13.07,4.98,5.78,0,2,0,0,0,2.49,7.02,2.29,4.29,0,8.66
41,4,2,1,2,106.48,75.71,2.5,3.5,4,0,0,0,0,3,4.79,1.99,2,7.64,1,0,2.5,9.37,3.25,30.17,30.77,0
41,4,2,1,2,144.79,111.22,10.89,2.68,15.77,10.65,5.67,0,0,0,3.45,19.48,0,0,0,0,1.49,22.25,7.04,11.85,33.57,0
31,1,1,2,1,63.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.34,111.89
31,1,1,2,1,56.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.16,21.57
62,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,1,2,2,42.4,42.4,3.38796,2.63901,0,0,0,0,0,2.97473,0,0,2.44415,5.31431,3.96683,3.8891,3.94925,3.72883,3.87982,6.22601,0,0
43,5,1,2,2,278.75005,229.75005,13.55164,22.7671,6.2464,17.07891,0,14.88327,4.31856,6.41338,12.15323,13.65449,14.2348,11.34802,13.28067,13.11156,0,19.83206,9.14654,37.72942,49,0
43,5,1,2,2,168.93002,150.44002,10.8914,3.62879,7.30237,32.34379,4.67009,4.77266,0,6.86828,2.85045,9.5673,32.78036,8.20554,3.4612,3.95884,0,6.99755,0,12.1414,18.49,0
74,1,1,2,1,40.47,32.04,0,5.57,7.38,0,0,0,0,2.2,0,7.19,0,0,2.29,0,0,2.02,0,5.39,8.43,0
74,1,1,2,1,183.58003,153.02003,7.05943,17.09824,4.85768,6.17626,0,8.91883,3.9292,6.55921,4.29569,5.26315,15.64473,12.37281,8.02382,8.12984,5.20006,10.42904,4.73341,24.32863,30.56,0
53,3,1,4,1,68.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.83,42
53,3,1,4,1,103.13,24.5,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,17.5,78.63,17
24,3,1,3,1,249.36002,120.00002,8.06759,9.52519,10.87931,5.80922,5.17941,0,0,0,0,6.40993,29.5802,23.2936,4.42215,4.39059,3.01756,0,0,9.42527,129.36,16
24,3,1,3,1,219.68001,123.00001,3.46504,13.14267,12.45032,0,0,4.8799,0,0,2.79203,0,35.30705,17.29432,0,0,0,5.76514,5.76129,22.14225,96.68,0
61,2,1,2,1,313.42,53.99,7.52,0,2.36,2.44,0,0,0,0,5.02,10.11,7.08,5.08,0,2.56,0,0,0,11.82,259.43,91.99
61,2,1,2,1,211.32854,113.69,0,8.06,0,12.96,0,22.28,13.56,0,8.57,18.98,8.78,2.18,1.76,0,0,0,0,16.56,97.63854,41.20146
63,3,1,4,1,72.13,33.75,0,0,5.82,0,0,8.06,0,0,0,0,0,8.22,0,0,3.09,0,0,8.56,38.38,95.75
63,3,1,4,1,109.67,44.91,0,3.08,4.73,0,0,13.84,0,0,0,0,0,4.11,0,0,0,0,0,19.15,64.76,77.05
