AGE_REF,FAM_SIZE,REF_RACE,REGION,SEX_REF,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV
59,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,2,3,2,82.64,82.64,6.88,9.55,8.64,13.77,4.18,15.88,0,1.98,0,0,0,1,0,0,0,2,5.96,12.8,0,0
49,2,2,3,2,81.34,81.34,14.85,1.99,0,13.11,2.09,14.19,0,0,0,0,0,7.51,0,0,11.88,1.49,5.88,8.35,0,0
43,1,1,4,2,87.69,25.53,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,3.79,13.06,62.16,0
43,1,1,4,2,51.24,35.87,0,3.99,0,0,0,8.99,0,0,0,8.58,1.79,0,0,0,0,6.54,0,5.98,15.37,0
46,1,1,4,1,49.61,32.12,0,4.77,0,0,0,0,0,0,3.18,6.16,0,0,1.05,0,2.54,12.73,0,1.69,17.49,0
46,1,1,4,1,59.07,53.14,2.64,23.62,0,0,0,0,0,0,7,3.08,1.77,0,0.46853,0.58147,2.54,8.26,0,3.18,5.93,0
50,2,1,3,2,317.43996,219.63996,7.59954,30.94293,20.17424,24.36963,4.26191,9.84092,0,6.88514,5.00518,8.61704,18.22152,10.34323,0,8.88611,3.03977,21.27962,9.05,31.12318,97.8,0
50,2,1,3,2,88.41999,73.81999,7.94455,10.44741,4.59113,0,0,4.68244,0,0,2.4425,0,5.83748,1.81187,0,0,0,12.26387,0,23.79874,14.6,0
37,9,1,1,2,467.32718,456.82718,11.56129,57.14669,30.2122,17.80335,19.21636,9.82537,16.39699,6.87182,14.29956,18.29538,26.85406,29.26802,17.44661,23.02051,27.72502,64.46595,18.92927,47.48873,10.5,6.05918
37,9,1,1,2,316.61981,264.51981,2.97389,37.46515,6.19596,11.16181,16.20257,4.39112,0,6.7215,9.37461,17.80556,21.8027,11.63928,8.39899,14.52896,8.02397,43.09867,9.21091,35.52416,52.1,0
22,1,3,4,1,10.95,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,9.98,0
22,1,3,4,1,81.75,54.51,0,13.94,0,0,0,0,0,0,0,4.91,0,2.04,1.87,4.1,0.97,8.92,0,17.76,27.24,0
57,5,1,1,2,369.49,199.58,1.59,38.84,0,5.01,0,41.04,0,1.48,10.54,6.65,2.02,9.97,2.99,0,21.35,23.34,3.98,30.78,169.91,0
57,5,1,1,2,305.59,131.46,2.59,21.45,17.8,4.89,5,12.6,0,2.69,17.84,10.71,3.81,10.43,0,8.99,0,0,3.49,9.17,174.13,0
37,1,1,4,1,125.2,51.02,9,8,0,0,0,0,0,0,3.68,0,0,0,0,0,16.17,14.17,0,0,74.18,9.82
37,1,1,4,1,92.3,39.45,0,23.74,0,0,0,0,0,0,2.29,5.66,0,0,0,0,0,0,0,7.76,52.85,27.38
23,6,1,1,1,102.89,102.89,0.99,0.67,30.05,14.62,0,5.17,2,0.99,0,7.44,3.22,9.02,3,3.96,5,4.24,0,12.52,0,0
23,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,1,4,1,36.38,36.38,0,0,0,9.98,0,0,0,0,7.58,3.09,1.59,0,0,0,0,0,6.29,7.85,0,8.99
69,1,1,4,1,56.16,51.16,4.55,9.35,0,0,0,0,0,0,0,0,0.87,9.33,3.29,4,3.35,0,0,16.42,5,0
54,1,1,4,2,57.05,47.63,3.49,0,5.03,0,0,10.98,0,0,0,7.56,1.18,8.54,0,9.56,0,0,0,1.29,9.42,17.46
54,1,1,4,2,73.9,44.45,0,0,0,5.41,0,0,0,0,2.99,14.85,2.57,2.07,0,10.57,0,0,0,5.99,29.45,10.25
49,1,1,1,1,49.73,28.17,12.77,4.29,0,0,7.49,0,0,0,3.62,0,0,0,0,0,0,0,0,0,21.56,0
49,1,1,1,1,81.34,34.57,4.49,6.68,0,0,5.99,0,0,0,3.62,0,0,0,0,0,1.79,1.59,3.79,6.62,46.77,0
64,1,1,2,2,9.38,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,7.56,0
64,1,1,2,2,28.29,4.22,0,0,0,0,0,0,0,0,0,0,0,0.9,2.41,0,0.91,0,0,0,24.07,0
55,2,1,3,1,82.48,12.52,0,1,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,69.96,0
55,2,1,3,1,123.73224,56.68,0,14,0,0,0,0,0,0,7.68,0,0,5,0,0,9,0,0,21,67.05224,0
43,1,1,4,1,69.54,56.7,0,0,0,0,0,0,0,0,0,20.74,8.79,5.99,21.18,0,0,0,0,0,12.84,0
43,1,1,4,1,19.65,12.69,1.93,0,0,0,0,0,0,0,0,0,0,0,2.38,0,5.95,0,0,2.43,6.96,0
61,1,1,3,2,41.00002,41.00002,2.5547,6.30393,0,4.18561,4.29249,0,0,2.80698,0,0,3.69832,0,0,3.33986,0,2.89161,0,10.92652,0,0
61,1,1,3,2,46.00001,46.00001,3.58325,5.19234,5.58048,0,0,0,0,3.11842,0,2.54709,2.53775,3.66377,0,3.71043,0,3.26965,3.8719,8.92493,0,0
42,3,1,3,2,170.7866,76.4,0,10.43,5.96,4.98,1.98,0,0,0,2.57,0,10.88,0,0,0,0,22.16,0,17.44,94.3866,17.6834
42,3,1,3,2,249.9,74.28,1.84,5.98,2.48,0,2.78,7.44,0,0,0,2.24,0,6.16,0,0,0,11,3.98,30.38,175.62,47.19
81,1,1,1,1,71.99999,29.99999,0,3.14376,0,0,0,5.53173,0,0,0,0,2.86206,6.33952,0,0,0,0,4.3667,7.75622,42,0
81,1,1,1,1,30,30,4.00541,3.28382,0,5.80476,3.78833,0,0,0,0,4.17167,0,1.66793,0,0,0,0,4.7567,2.52138,0,0
34,3,2,1,2,146,116,5,10,13,12,0,5,3,0,0,4,20,30,1.78487,2.21513,0,0,10,0,30,0
34,3,2,1,2,98.93,98.93,4.89,4.99,22.25,14.85,0,5.97,0,1.99,0,11.48,0,0,5.18243,1.10757,2.98,4.08,8.38,10.78,0,0
76,2,1,4,1,258.1,143.45,7.68,16.45,14.94653,0,16.28909,0,15.38482,4.39956,2.19,3.49,7.04,1.67,0,0.99,8.28,30.28,0,14.36,114.65,0
76,2,1,4,1,334.07,224.88,0,35.14,0,20.82,0,10.54,0,0,5.99,51.97,10.68,10.86,0,0,0.79,40.41,0,37.68,109.19,8.74
53,2,2,3,1,57.78,57.78,1.92,0,0,17.78,3.39,0,3.4,0,0,0,3.7,1.84,0,0,0,1.7,0,24.05,0,16.85
53,2,2,3,1,68.6,48.6,4.22,0,4.64,16.58,2.98,0,1.7,2.37,0,0,2.16,1.95,0,10.3,0,1.7,0,0,20,16.85
28,2,2,4,2,100.7,59.58,0,3.39,7.49,4.99,0,0,0,0,2.49,2.12,6.29,0,3.12889,11.04111,2.06,7.59,0,8.99,41.12,29.32
28,4,1,4,1,169.98,28.68,0,3.97,7.26,0,0,0,0,0,4.89,0,0,0,0,0,6.52,0,0,6.04,141.3,0
28,4,1,4,1,183.78047,13.86,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,169.92047,0
34,4,1,1,2,317.25001,191.26001,4.99,26.96408,0,0,4.25322,10.06,0,2.76141,7.55,26.36857,16.94668,1.50635,3.15052,7.36393,4.91433,26.94,29.08127,18.40965,125.99,29.77
34,4,1,1,2,141.77,91.72,0,7.39,0,0,10,0,0,0,0,5.5,0,8.58,4.89,0,0,40,0,15.36,50.05,0
42,2,1,3,2,144.52,106.86,0,2.68,0,7.2,14.64,6.68,0,0,9.1,14.15,3.72,5.9,0,0,0,8.6,4.48,29.71,37.66,0
42,2,1,3,2,234.55007,199.59,7.78,13.56,7.96,0,14.64,17.29,0,0,11.51,25.16,13.51,8.09,0,6.32,0,24.39,0,49.38,34.96007,0
72,2,1,1,2,40.9,40.9,0,5.17,0,0,0,0,3.79,2,7.13,2.79,0,3.69,3,0,0,0,5.54,7.79,0,36.02
72,2,1,1,2,77.26,77.26,0,5.75,4.46,0,0,7.55,0,0,3.6,11.45,14.63,9.7,3.99,1.89,0,0,6.99,7.25,0,0
37,4,2,3,2,166.86,100.24,3.41,2.56,13.35,0,2.31,0,0,0,3.59,17.79,1.65,0,1.55,0,5.22,16.25,0,32.56,66.62,4.26
37,4,2,3,2,56.1,6.14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.07,0,1.07,49.96,0
